Iteration,a,b,f(a),f(b),b - a,c,f(c)
0,0.0,3.0,-0.100000000000000,0.476809918873156,3.0,0.520102013131247,-0.0840422100782362
1,0.520102013131247,3.0,-0.0840422100782362,0.476809918873156,2.47989798686875,0.891708176015371,-0.0385014696683552
2,0.891708176015371,3.0,-0.0385014696683552,0.476809918873156,2.10829182398463,1.04922911484602,-0.0104242242027135
3,1.04922911484602,3.0,-0.0104242242027135,0.476809918873156,1.95077088515398,1.09096525621451,-0.00222901223019378
4,1.09096525621451,3.0,-0.00222901223019378,0.476809918873156,1.90903474378549,1.09984817055712,-0.000446855980891891
5,1.09984817055712,3.0,-0.000446855980891891,0.476809918873156,1.90015182944288,1.10162728455681,-8.83494197787549e-5
6,1.10162728455681,3.0,-8.83494197787549e-5,0.476809918873156,1.89837271544319,1.10197897408701,-1.74193437232351e-5
7,1.10197897408701,3.0,-1.74193437232351e-5,0.476809918873156,1.89802102591299,1.10204831214294,-3.43258241874977e-6
8,1.10204831214294,3.0,-3.43258241874977e-6,0.476809918873156,1.89795168785706,1.10206197550949,-6.76336854854576e-7
9,1.10206197550949,3.0,-6.76336854854576e-7,0.476809918873156,1.89793802449051,1.10206466765905,-1.33258785339763e-7
10,1.10206466765905,3.0,-1.33258785339763e-7,0.476809918873156,1.89793533234095,1.10206519809366,-2.62558945696156e-8
