Iteration,a,f(a),b,f(b)
0,0.0,-0.100000000000000,1.0,-0.0196986029286058
1,1.0,-0.0196986029286058,1.24530834639268,0.0304836745196431
2,1.24530834639268,0.0304836745196431,1.09629359121147,-0.00116157052165811
3,1.09629359121147,-0.00116157052165811,1.10176332755526,-6.09141645101507e-5
4,1.10176332755526,-6.09141645101507e-5,1.10206604185597,1.43953691633669e-7
5,1.10206604185597,1.43953691633669e-7,1.10206532816150,-1.77151626701288e-11
