Iteration,a,f(a),b,f(b)
0,0.0,-1,1.0,0.276538619022737
1,1.0,0.276538619022737,0.783368387840516,0.123134779971348
2,0.783368387840516,0.123134779971348,0.609481697239763,-0.0854360709516194
3,0.609481697239763,-0.0854360709516194,0.680710229750258,0.00759179538368704
4,0.680710229750258,0.00759179538368704,0.674897429074481,0.000361157996585204
5,0.674897429074481,0.000361157996585204,0.674607089601731,-1.78139654172238e-6
6,0.674607089601731,-1.78139654172238e-6,0.674608514659861,4.11818579237888e-10
7,0.674608514659861,4.11818579237888e-10,0.674608514330496,3.33066907387547e-16
