Iteration,step,f(step),f'(step)
0,0.0,1,0
1,5.0,6114871003.90698,16265443313.9535
2,4.62405752576929,2159526931.74620,6226493809.17448
3,4.27722879712522,762610450.126508,2383685681.49649
4,3.95729968229002,269285381.490433,912618588.230434
5,3.66223076197296,95077936.0718297,349440949.958974
6,3.39014491718862,33565407.1783806,133818031.339374
7,3.13931618474930,11847691.7250315,51254032.8969478
8,2.90815990190902,4181040.13083867,19635224.9798226
9,2.69522421438137,1475078.86162860,7524334.17248987
10,2.49918309927225,520220.017368272,2884471.60843078
11,2.31883117074303,183376.738083348,1106342.27602926
12,2.15308071353235,64596.1836548340,424642.292188554
13,2.00096165981796,22733.0308058989,163152.564652076
14,1.86162562881914,7989.48216053466,62775.8926841358
15,1.73435571964023,2802.31895336495,24205.6521913069
16,1.61858445550667,979.991853269788,9363.43345573899
17,1.51392286337786,341.142425853361,3640.03293038953
18,1.42020326457828,117.898155422466,1426.15569597295
19,1.33753476228546,40.2718882919299,565.813471948748
20,1.26635956005277,13.4921553786128,229.133147552277
21,1.20747608761440,4.37177313524238,96.0596490912554
22,1.16196506215677,1.33109789644644,42.8656710556003
23,1.13091229047101,0.354226753455386,21.6472251298263
24,1.11454868029322,0.0663245667750729,13.8738458494933
25,1.10976813368094,0.00463272766291922,11.9605952601830
26,1.10938080114756,2.87992705558793e-5,11.8120478675078
27,1.10937836302075,1.13623599418133e-9,11.8111158172050
