Iteration,a,b,f(a),f(b),b - a,c,f(c)
0,0.0,3.0,-0.100000000000000,0.476809918873156,3.0,1.5,0.0911531694619420
1,0.0,1.5,-0.100000000000000,0.0911531694619420,1.5,0.75,-0.0594945602551861
2,0.75,1.5,-0.0594945602551861,0.0911531694619420,0.75,1.125,0.00466936736330115
3,0.75,1.125,-0.0594945602551861,0.00466936736330115,0.375,0.9375,-0.0308282180970006
4,0.9375,1.125,-0.0308282180970006,0.00466936736330115,0.1875,1.03125,-0.0138616149927039
5,1.03125,1.125,-0.0138616149927039,0.00466936736330115,0.09375,1.078125,-0.00478185482735094
6,1.078125,1.125,-0.00478185482735094,0.00466936736330115,0.046875,1.1015625,-0.000101413196241906
7,1.1015625,1.125,-0.000101413196241906,0.00466936736330115,0.0234375,1.11328125,0.00227284443105080
8,1.1015625,1.11328125,-0.000101413196241906,0.00227284443105080,0.01171875,1.107421875,0.00108291241799952
9,1.1015625,1.107421875,-0.000101413196241906,0.00108291241799952,0.005859375,1.1044921875,0.000490046312553005
10,1.1015625,1.1044921875,-0.000101413196241906,0.000490046312553005,0.0029296875,1.10302734375,0.000194140421656330
11,1.1015625,1.10302734375,-0.000101413196241906,0.000194140421656330,0.00146484375,1.102294921875,4.63195396176452e-5
12,1.1015625,1.102294921875,-0.000101413196241906,4.63195396176452e-5,0.000732421875,1.1019287109375,-2.75578514535857e-5
13,1.1019287109375,1.102294921875,-2.75578514535857e-5,4.63195396176452e-5,0.0003662109375,1.10211181640625,9.37808890510983e-6
14,1.1019287109375,1.10211181640625,-2.75578514535857e-5,9.37808890510983e-6,0.00018310546875,1.102020263671875,-9.09057014453207e-6
15,1.102020263671875,1.10211181640625,-9.09057014453207e-6,9.37808890510983e-6,9.1552734375e-05,1.1020660400390625,1.43587172263260e-7
16,1.102020263671875,1.1020660400390625,-9.09057014453207e-6,1.43587172263260e-7,4.57763671875e-05,1.1020431518554688,-4.47353453925103e-6
17,1.1020431518554688,1.1020660400390625,-4.47353453925103e-6,1.43587172263260e-7,2.288818359375e-05,1.1020545959472656,-2.16498444671753e-6
18,1.1020545959472656,1.1020660400390625,-2.16498444671753e-6,1.43587172263260e-7,1.1444091796875e-05,1.102060317993164,-1.01070132796366e-6
19,1.102060317993164,1.1020660400390625,-1.01070132796366e-6,1.43587172263260e-7,5.7220458984375e-06,1.1020631790161133,-4.33557750589841e-7
20,1.1020631790161133,1.1020660400390625,-4.33557750589841e-7,1.43587172263260e-7,2.86102294921875e-06,1.102064609527588,-1.44985457195546e-7
21,1.102064609527588,1.1020660400390625,-1.44985457195546e-7,1.43587172263260e-7,1.430511474609375e-06,1.1020653247833252,-6.99184599106673e-10
