Iteration,a,b,f(a),f(b),b - a,c,f(c)
0,0.0,1.0,-1,0.276538619022737,1.0,0.5,-0.244088988683471
1,0.5,1.0,-0.244088988683471,0.276538619022737,0.5,0.75,0.0882350420200348
2,0.5,0.75,-0.244088988683471,0.0882350420200348,0.25,0.625,-0.0643847501479037
3,0.625,0.75,-0.0643847501479037,0.0882350420200348,0.125,0.6875,0.0159507655017931
4,0.625,0.6875,-0.0643847501479037,0.0159507655017931,0.0625,0.65625,-0.0232862137562994
5,0.65625,0.6875,-0.0232862137562994,0.0159507655017931,0.03125,0.671875,-0.00342527573163331
6,0.671875,0.6875,-0.00342527573163331,0.0159507655017931,0.015625,0.6796875,0.00632455082376482
7,0.671875,0.6796875,-0.00342527573163331,0.00632455082376482,0.0078125,0.67578125,0.00146494096374117
8,0.671875,0.67578125,-0.00342527573163331,0.00146494096374117,0.00390625,0.673828125,-0.000976360140558352
9,0.673828125,0.67578125,-0.000976360140558352,0.00146494096374117,0.001953125,0.6748046875,0.000245244553371271
10,0.673828125,0.6748046875,-0.000976360140558352,0.000245244553371271,0.0009765625,0.67431640625,-0.000365319549231247
11,0.67431640625,0.6748046875,-0.000365319549231247,0.000245244553371271,0.00048828125,0.674560546875,-5.99779004363254e-5
12,0.674560546875,0.6748046875,-5.99779004363254e-5,0.000245244553371271,0.000244140625,0.6746826171875,9.26482303897913e-5
13,0.674560546875,0.6746826171875,-5.99779004363254e-5,9.26482303897913e-5,0.0001220703125,0.67462158203125,1.63388903887673e-5
14,0.674560546875,0.67462158203125,-5.99779004363254e-5,1.63388903887673e-5,6.103515625e-05,0.674591064453125,-2.18185737418386e-5
15,0.674591064453125,0.67462158203125,-2.18185737418386e-5,1.63388903887673e-5,3.0517578125e-05,0.6746063232421875,-2.73960884711322e-6
16,0.6746063232421875,0.67462158203125,-2.73960884711322e-6,1.63388903887673e-5,1.52587890625e-05,0.6746139526367188,6.79969897920962e-6
17,0.6746063232421875,0.6746139526367188,-2.73960884711322e-6,6.79969897920962e-6,7.62939453125e-06,0.6746101379394531,2.03005961796343e-6
18,0.6746063232421875,0.6746101379394531,-2.73960884711322e-6,2.03005961796343e-6,3.814697265625e-06,0.6746082305908203,-3.54770976596086e-7
19,0.6746082305908203,0.6746101379394531,-3.54770976596086e-7,2.03005961796343e-6,1.9073486328125e-06,0.6746091842651367,8.37645230178374e-7
20,0.6746082305908203,0.6746091842651367,-3.54770976596086e-7,8.37645230178374e-7,9.5367431640625e-07,0.6746087074279785,2.41437354109308e-7
21,0.6746082305908203,0.6746087074279785,-3.54770976596086e-7,2.41437354109308e-7,4.76837158203125e-07,0.6746084690093994,-5.66667543999699e-8
