Iteration,a,b,f(a),f(b),b - a,c,f(c)
0,0.8,1.3,0.841785390770605,23.2144532563191,0.5,1.05,-0.211158917549808
1,0.8,1.05,0.841785390770605,-0.211158917549808,0.25,0.925,0.416000720548405
2,0.925,1.05,0.416000720548405,-0.211158917549808,0.125,0.9875,0.0701139149981449
3,0.9875,1.05,0.0701139149981449,-0.211158917549808,0.0625,1.01875,-0.0971347259975950
4,0.9875,1.01875,0.0701139149981449,-0.0971347259975950,0.03125,1.003125,-0.0170261209100140
5,0.9875,1.003125,0.0701139149981449,-0.0170261209100140,0.015625,0.9953125,0.0259723238256164
6,0.9953125,1.003125,0.0259723238256164,-0.0170261209100140,0.0078125,0.99921875,0.00429510040540837
7,0.99921875,1.003125,0.00429510040540837,-0.0170261209100140,0.00390625,1.001171875,-0.00641467557469610
8,0.99921875,1.001171875,0.00429510040540837,-0.00641467557469610,0.001953125,1.0001953125,-0.00107148302365889
9,0.99921875,1.0001953125,0.00429510040540837,-0.00107148302365889,0.0009765625,0.99970703125,0.00160895818841489
10,0.99970703125,1.0001953125,0.00160895818841489,-0.00107148302365889,0.00048828125,0.999951171875,0.000268015837096236
11,0.999951171875,1.0001953125,0.000268015837096236,-0.00107148302365889,0.000244140625,1.0000732421875,-0.000401915173922518
12,0.999951171875,1.0000732421875,0.000268015837096236,-0.000401915173922518,0.0001220703125,1.00001220703125,-6.69949203393472e-5
13,0.999951171875,1.00001220703125,0.000268015837096236,-6.69949203393472e-5,6.103515625e-05,0.999981689453125,0.000100499163285583
14,0.999981689453125,1.00001220703125,0.000100499163285583,-6.69949203393472e-5,3.0517578125e-05,0.9999969482421875,1.67492954652460e-5
15,0.9999969482421875,1.00001220703125,1.67492954652460e-5,-6.69949203393472e-5,1.52587890625e-05,1.0000045776367188,-2.51235192170185e-5
16,0.9999969482421875,1.0000045776367188,1.67492954652460e-5,-2.51235192170185e-5,7.62939453125e-06,1.0000007629394532,-4.18728853635031e-6
17,0.9999969482421875,1.0000007629394532,1.67492954652460e-5,-4.18728853635031e-6,3.814697265625e-06,0.9999988555908204,6.28095930288453e-6
18,0.9999988555908204,1.0000007629394532,6.28095930288453e-6,-4.18728853635031e-6,1.9073486328125e-06,0.9999998092651368,1.04682434187708e-6
19,0.9999998092651368,1.0000007629394532,1.04682434187708e-6,-4.18728853635031e-6,9.5367431640625e-07,1.000000286102295,-1.57023485680696e-6
20,0.9999998092651368,1.000000286102295,1.04682434187708e-6,-1.57023485680696e-6,4.76837158203125e-07,1.0000000476837159,-2.61705947579571e-7
21,0.9999998092651368,1.0000000476837159,1.04682434187708e-6,-2.61705947579571e-7,2.384185791015625e-07,0.9999999284744263,3.92559024398054e-7
22,0.9999999284744263,1.0000000476837159,3.92559024398054e-7,-2.61705947579571e-7,1.1920928955078125e-07,0.9999999880790711,6.54264953325878e-8
