x = 0.000, y = 2.000
x = 0.500, y = 3.500
x = 1.000, y = 5.609
x = 1.500, y = 8.658
x = 2.000, y = 13.133
x = 2.500, y = 19.756
x = 3.000, y = 29.595
x = 3.500, y = 44.243
x = 4.000, y = 66.071
x = 4.500, y = 98.619
x = 5.000, y = 147.160
x = 5.500, y = 219.567
x = 6.000, y = 327.577
x = 6.500, y = 488.703
x = 7.000, y = 729.072
x = 7.500, y = 1087.657
