t = 1.000, j = 4.000, k = 6.000
t = 0.889, j = 3.907, k = 6.473
t = 0.778, j = 3.851, k = 7.006
t = 0.667, j = 3.830, k = 7.604
t = 0.556, j = 3.844, k = 8.272
t = 0.444, j = 3.895, k = 9.017
t = 0.333, j = 3.981, k = 9.845
t = 0.222, j = 4.104, k = 10.765
t = 0.111, j = 4.266, k = 11.785
t = 0.000, j = 4.466, k = 12.913
